"TOA5","CR6Series","CR6","3767","CR6.Std.04 CR6-WIFI.01","CPU:ew_fullsun_code Rev1.CR6","51073","soil_moi"
"TIMESTAMP","RECORD","BattV_Min","VW_Avg"
"TS","RN","Volts",""
"","","Min","Avg"
"2018-07-21 00:00:00",180,12.82,"NAN"
"2018-07-21 01:00:00",181,12.81,"NAN"
"2018-07-21 02:00:00",182,12.8,"NAN"
"2018-07-21 03:00:00",183,12.77,"NAN"
"2018-07-21 04:00:00",184,12.77,"NAN"
"2018-07-21 05:00:00",185,12.78,"NAN"
"2018-07-21 06:00:00",186,12.77,"NAN"
"2018-07-21 07:00:00",187,12.76,"NAN"
"2018-07-21 08:00:00",188,12.81,"NAN"
"2018-07-21 09:00:00",189,13.01,"NAN"
"2018-07-21 10:00:00",190,13.17,"NAN"
"2018-07-21 11:00:00",191,14.41,"NAN"
"2018-07-21 12:00:00",192,14.33,"NAN"
"2018-07-21 13:00:00",193,14.29,"NAN"
"2018-07-21 14:00:00",194,14.27,"NAN"
"2018-07-21 15:00:00",195,14.24,"NAN"
"2018-07-21 16:00:00",196,14.26,"NAN"
"2018-07-21 17:00:00",197,14.39,"NAN"
"2018-07-21 18:00:00",198,14.37,"NAN"
"2018-07-21 19:00:00",199,14.37,"NAN"
"2018-07-21 20:00:00",200,14.37,"NAN"
"2018-07-21 21:00:00",201,12.93,"NAN"
"2018-07-21 22:00:00",202,12.87,"NAN"
"2018-07-21 23:00:00",203,12.85,"NAN"
"2018-07-22 00:00:00",204,12.83,"NAN"
"2018-07-22 01:00:00",205,12.81,"NAN"
"2018-07-22 02:00:00",206,12.81,"NAN"
"2018-07-22 03:00:00",207,12.78,"NAN"
"2018-07-22 04:00:00",208,12.77,"NAN"
"2018-07-22 05:00:00",209,12.77,"NAN"
"2018-07-22 06:00:00",210,12.77,"NAN"
"2018-07-22 07:00:00",211,12.77,"NAN"
"2018-07-22 08:00:00",212,12.93,"NAN"
"2018-07-22 09:00:00",213,13.34,"NAN"
"2018-07-22 10:00:00",214,14.47,"NAN"
"2018-07-22 11:00:00",215,14.42,"NAN"
"2018-07-22 12:00:00",216,14.4,"NAN"
"2018-07-22 13:00:00",217,14.34,"NAN"
"2018-07-22 14:00:00",218,14.3,"NAN"
