TOA5,CR6Series,CR6,3767,51073,3767
TIMESTAMP,RECORD,AirTC_Avg,RH,PotSlrW_Avg,WS_ms_S_WVT
TS,RN,Deg C,%,W/m^2,meters/second
,,Avg,Smp,Avg,WVc
7/19/2018 7:00,139,14.03,84.5,864,0.269
7/19/2018 8:00,140,15.48,76.29,633.8,0.315
7/19/2018 9:00,141,18.49,65.85,381.9,0.32
7/19/2018 10:00,142,21.68,57.21,127.8,0.529
7/19/2018 11:00,143,23.98,48.89,-118.5,0.703
7/19/2018 12:00,144,25.72,44.41,-335.9,0.813
7/19/2018 13:00,145,25.74,45.2,-507.3,0.813
7/19/2018 14:00,146,26.57,38.42,-622.9,1.001
7/19/2018 15:00,147,27.38,40.27,-674.8,1.023
7/19/2018 16:00,148,27.89,40.78,-659.7,0.899
7/19/2018 17:00,149,28.47,41.81,-578.4,0.945
7/19/2018 18:00,150,28.32,41.09,-436.5,0.353
7/19/2018 19:00,151,28.33,49.11,-243.5,0.36
7/19/2018 20:00,152,28.13,43.98,-8.65,0.045
7/19/2018 21:00,153,24.6,70.95,240.7,0.218
7/19/2018 22:00,154,22.27,66.48,496.7,0.977
7/19/2018 23:00,155,21.61,66.69,740.8,1.054
7/20/2018 0:00,156,21.11,64.74,956,1.06
7/20/2018 1:00,157,20.74,66.18,1127,1.302
7/20/2018 2:00,158,20.34,67.96,1242,1.327
7/20/2018 3:00,159,20.02,68.75,1294,1.025
7/20/2018 4:00,160,19.74,68.22,1278,0.706
7/20/2018 5:00,161,19.29,71.14,1197,1.041
7/20/2018 6:00,162,19.01,70.75,1055,0.805
7/20/2018 7:00,163,19.17,71.76,862,0.797
7/20/2018 8:00,164,19.86,69.4,631.8,0.77
7/20/2018 9:00,165,21.94,61.8,379.6,0.868
7/20/2018 10:00,166,24.56,63.76,125.3,0.985
7/20/2018 11:00,167,25.74,60.83,-121.6,0.954
7/20/2018 12:00,168,27.84,52.19,-339.2,1.018
7/20/2018 13:00,169,28.8,51.04,-510.8,1.045
7/20/2018 14:00,170,29,46.84,-626.6,1.211
7/20/2018 15:00,171,28.66,52.05,-678.7,0.908
7/20/2018 16:00,172,28.13,61.3,-663.6,1.036
7/20/2018 17:00,173,21.93,92,-582.3,1.508
7/20/2018 18:00,174,21.43,97.6,-440.3,1.171
7/20/2018 19:00,175,19.94,98.6,-247.1,0.747
7/20/2018 20:00,176,19.38,93.2,-12.03,0.815
7/20/2018 21:00,177,19.25,92.5,237.7,0.485
7/20/2018 22:00,178,19.16,88.2,494,0.358
7/20/2018 23:00,179,19.21,89.7,738.4,0.621
7/21/2018 0:00,180,20.14,74.37,954,1.559
7/21/2018 1:00,181,20.54,76.1,1125,1.294
7/21/2018 2:00,182,20.58,74.61,1240,1.258
7/21/2018 3:00,183,20.21,80.1,1292,0.534
7/21/2018 4:00,184,19.55,76.56,1277,0.237
7/21/2018 5:00,185,19.64,77.75,1195,0.937
7/21/2018 6:00,186,19.69,77.12,1053,0.617
7/21/2018 7:00,187,19.3,78.04,860,0.088
7/21/2018 8:00,188,19.47,82.2,629.7,0.344
7/21/2018 9:00,189,19.9,80.7,377.2,0.406
7/21/2018 10:00,190,20.48,77.26,122.6,0.627
7/21/2018 11:00,191,23.1,70.23,-124.8,0.747
7/21/2018 12:00,192,24.54,60.57,-342.6,1.281
7/21/2018 13:00,193,25.22,59.12,-514.5,1.125
7/21/2018 14:00,194,26.13,58.74,-630.5,0.917
7/21/2018 15:00,195,26.94,60.68,-682.7,0.891
7/21/2018 16:00,196,23.91,94.2,-667.6,1.093
7/21/2018 17:00,197,20.47,96,-586.3,0.408
7/21/2018 18:00,198,21.99,86.8,-444.1,0.726
7/21/2018 19:00,199,21.55,83.4,-250.7,0.929
7/21/2018 20:00,200,21.44,81.4,-15.44,0.852
7/21/2018 21:00,201,19.35,86.2,234.6,1.141
7/21/2018 22:00,202,18.45,85.7,491.2,0.952
7/21/2018 23:00,203,18.12,84.7,736,0.631
7/22/2018 0:00,204,17.84,88.2,952,0.503
7/22/2018 1:00,205,17.37,85.6,1123,0.356
7/22/2018 2:00,206,17.09,93.5,1239,0.321
7/22/2018 3:00,207,16.28,92.9,1291,0.116
7/22/2018 4:00,208,16.37,91.5,1275,0.165
7/22/2018 5:00,209,16.12,96.6,1194,0.086
7/22/2018 6:00,210,15.63,97.8,1052,0.019
7/22/2018 7:00,211,15.53,97.7,858,0.003
7/22/2018 8:00,212,16.74,90.9,627.4,0.22
7/22/2018 9:00,213,18.55,87.8,374.7,0.201
7/22/2018 10:00,214,19.97,83.6,119.9,0.333
7/22/2018 11:00,215,21.76,79.07,-128.2,0.475
7/22/2018 12:00,216,22.83,74.21,-346.1,0.267
